点号,X (m),Y (m),Z (m)
1,0.056135,0.000000,0.213276
2,0.060141,0.000000,0.218508
3,0.064590,0.000000,0.223534
4,0.069472,0.000000,0.228326
5,0.074774,0.000001,0.232854
6,0.080481,0.000001,0.237091
7,0.086576,0.000001,0.241010
8,0.093042,0.000001,0.244584
9,0.099860,0.000001,0.247788
10,0.107007,0.000002,0.250598
11,0.114461,0.000002,0.252991
12,0.122199,0.000002,0.254945
13,0.130194,0.000003,0.256441
14,0.138421,0.000003,0.257460
15,0.146850,0.000003,0.257984
16,0.155454,0.000004,0.257997
17,0.164203,0.000004,0.257487
18,0.173064,0.000005,0.256440
19,0.182008,0.000005,0.254846
20,0.191002,0.000006,0.252696
21,0.200012,0.000006,0.249984
22,0.056135,0.000000,0.213276
23,0.060191,-0.000000,0.218079
24,0.064662,-0.000001,0.222674
25,0.069537,-0.000001,0.227033
26,0.074802,-0.000002,0.231129
27,0.080444,-0.000002,0.234936
28,0.086447,-0.000003,0.238428
29,0.092791,-0.000004,0.241581
30,0.099458,-0.000005,0.244371
31,0.106428,-0.000006,0.246776
32,0.113678,-0.000007,0.248775
33,0.121184,-0.000008,0.250346
34,0.128922,-0.000010,0.251473
35,0.136866,-0.000011,0.252137
36,0.144988,-0.000013,0.252324
37,0.153262,-0.000015,0.252017
38,0.161657,-0.000016,0.251206
39,0.170145,-0.000018,0.249879
